batch,platform,schema_group_no,platform_total_sheets,platform_schema_group_count,schema_sheet_count,schema_file_count,schema_status,normalization_status,interpretation_label,origin_variant_signal,human_or_aux_signal,filename_human_work_hints,header_row_distribution,sheet_names,standard_상품명,standard_외부콘텐츠ID,standard_판매금액,standard_정산기준액,standard_상계금액,상품명_candidates,외부콘텐츠ID_candidates,판매금액_candidates,정산기준액_candidates,상계금액_candidates,flags,example,headers_preview
2/3,밀리의서재,1,8,2,5,5,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,header_not_detected_or_non_detail_sheet,,none:5,list(5),,,,,,,,,,,no_header_candidate:5,밀리의서재\1월\2026년 1월 밀리의서재 정산상세.xlsx::list,
2/3,밀리의서재,2,8,2,3,3,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,header_not_detected_or_non_detail_sheet,,none:3,list(3),,,,,,,,,,,no_header_candidate:3,밀리의서재\25년\10월\2025년 밀리의서재 10월 정산상세.xlsx::list,
2/3,부커스,1,8,1,8,8,manual_review,needs_manual_review_before_adapter,human_modified_or_aux_sheet,,"header_not_detected_or_non_detail_sheet,filename_human_work_signal",부커스\4월\2026년 4월 부커스 정산상세 - 복사본.xlsx (복사),none:8,CP 콘텐츠별 정산(8),,,,,,,,,,,no_header_candidate:8,부커스\1월\2026년 1월 부커스 정산상세.xlsx::CP 콘텐츠별 정산,
2/3,토스(구루컴퍼니),1,8,2,7,7,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:7,정산_공급사_202601(1) | 정산_공급사_202510(1) | 정산_공급사_202511(1) | 정산_공급사_202512(1) | 정산_공급사_202509(1) | 정산_공급사_202602(1) | 정산_공급사_202603(1),작품명,작품번호,콘텐츠 매출금액,콘텐츠 정산금액,결제수수료,작품명(10) | 작품유형(2) | 콘텐츠 매출금액(2) | 콘텐츠 정산금액(2) | 콘텐츠 정산금액_면세(2) | 콘텐츠 정산금액_과세(2),작품번호(3),콘텐츠 매출금액(5) | 사용코인(3),콘텐츠 정산금액(8) | 콘텐츠 정산금액_면세(7) | 콘텐츠 정산금액_과세(7) | 정산 대상금액(2),결제수수료(5),,토스(구루컴퍼니)\1월\2026년 1월 토스 정산상세.xlsx::정산_공급사_202601,공급사 | 작품유형 | 작품번호 | 작품명 | 레이블 | 작가 | 사용코인 | 콘텐츠 매출금액 | 결제수수료 | 정산 대상금액 | 콘텐츠 정산금액_면세 | 콘텐츠 정산금액_과세 | 콘텐츠 정산금액
2/3,토스(구루컴퍼니),2,8,2,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,25년 8월 토스(1),작품명,작품번호,콘텐츠 매출금액,콘텐츠 정산금액,결제수수료,작품명(10) | 작품유형(2) | 콘텐츠 매출금액(2) | 콘텐츠 정산금액(2),작품번호(3),콘텐츠 매출금액(5) | 사용코인(3),콘텐츠 정산금액(8) | 정산 대상금액(2),결제수수료(5),,토스(구루컴퍼니)\25년\8월\25년 8월 토스 정산상세.xlsx::25년 8월 토스,공급사 | 작품유형 | 작품번호 | 작품명 | 레이블 | 작가 | 사용코인 | 콘텐츠 매출금액 | 결제수수료 | 정산 대상금액 | 콘텐츠 정산금액
2/3,모픽,1,8,4,5,5,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:5,작품별정산(5),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8) | 순 매출액(4) | 매출구분(2),정산액(10) | 정산 기간(2),,,모픽\1월\2026년 1월 모픽 정산상세.xlsx::작품별정산,작품명 | 출판사 | 제공사 | 작가명 | 유형 | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액
2/3,모픽,2,8,4,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,작품별정산(1),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8) | 순 매출액(4) | 매출구분(2),정산액(10) | 정산 기간(2),,,모픽\25년\10월\2025년 10월 모픽 정산상세.xlsx::작품별정산,작품명 | 작가명 | 유형 | CP | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액
2/3,모픽,3,8,4,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,작품별정산(1),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8) | 순 매출액(4) | 매출구분(2),정산액(10) | 정산 기간(2),,,모픽\25년\9월\25년 9월 모픽 정산상세.xlsx::작품별정산,작품명 | 작가명 | CP | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액
2/3,모픽,4,8,4,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,작품별정산(1),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8),정산액(10),,,모픽\2월\2026년 2월 모픽 정산상세.xlsx::작품별정산,작품명 | 출판사 | 총 매출액 | 정산액
2/3,무툰,1,8,2,7,7,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template",,,2:7,Sheet(7),타이틀,,합계,정산총액,공제수수료,타이틀(8),,합계(3) | 사용코인(3),정산총액(11),공제수수료(12) | 취소코인(3),merged_cells:7,무툰\1월\2026년 1월 무툰 정산상세.xlsx::Sheet,NO | 구분 | 작가 | 장르 | 타이틀 | 사용코인 | 취소코인 | 합계 | 공제수수료 | 정산총액
